(0,), 0.6681318681318681
(158, '1', '0'), 0.42857142857142855
(158, '1', '1'), 0.5
(159, '0', '0'), 0.05200945626477541
(159, '0', '1'), 0.25
(159, '1', '0'), 0.13636363636363635
(159, '1', '1'), 0.0
(16, '0'), 0.3790523690773067
(16, '1'), 0.37037037037037035
(160, '0'), 0.2972972972972973
(160, '1'), 0.2
(161, '0', '0'), 0.07894736842105263
(161, '0', '1'), 0.125
(161, '1', '0'), 0.09243697478991597
(161, '1', '1'), 0.25
(162, '0', '0'), 0.061381074168797956
(162, '0', '1'), 0.041666666666666664
(162, '1', '0'), 0.20588235294117646
(162, '1', '1'), 0.6666666666666666
(163, '0', '0'), 0.06199460916442048
(163, '0', '1'), 0.0
(163, '1', '0'), 0.25
(163, '1', '1'), 0.25
(164, '0', '0'), 0.13157894736842105
(164, '0', '1'), 0.06976744186046512
(164, '1', '0'), 0.26666666666666666
(164, '1', '1'), 0.0
(165, '0', '0'), 0.03804347826086957
(165, '0', '1'), 0.0
(165, '1', '0'), 0.13333333333333333
(165, '1', '1'), 0.0
(166, '0', '0'), 0.07512953367875648
(166, '0', '1'), 0.0425531914893617
(166, '1', '0'), 0.2631578947368421
(166, '1', '1'), 0.3333333333333333
(167, '0', '0'), 0.04220779220779221
(167, '0', '1'), 0.14545454545454545
(167, '1', '0'), 0.22580645161290322
(167, '1', '1'), 0.3333333333333333
(168, '0', '0'), 0.06201550387596899
(168, '0', '1'), 0.1
(168, '1', '0'), 0.13513513513513514
(168, '1', '1'), 0.0
(169, '0', '0'), 0.03
(169, '0', '1'), 0.0
(169, '1', '0'), 0.12903225806451613
(169, '1', '1'), 0.0
(17, '0'), 0.06007067137809187
(17, '1'), 0.046511627906976744
(170, '0', '0'), 0.03694581280788178
(170, '0', '1'), 0.0
(170, '1', '0'), 0.3333333333333333
(170, '1', '1'), 0.0
(171, '0', '0'), 0.0196078431372549
(171, '0', '1'), 0.07407407407407407
(171, '1', '0'), 0.15789473684210525
(171, '1', '1'), 0.0
(172, '0', '0'), 0.11138014527845036
(172, '0', '1'), 0.06896551724137931
(172, '1', '0'), 0.23076923076923078
(173, '0', '0'), 0.02610966057441253
(173, '0', '1'), 0.047619047619047616
